# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
OPEN0   -0.005542     0.002747      121            70
RANK5   -0.005672    -0.017108      122           144
MIN10   -0.006056     0.008612      123            37
MIN60   -0.006115     0.005933      124            49
MIN30   -0.006309     0.004136      125            57
VSTD30  -0.007417    -0.002459      126            94
LOW0    -0.007484     0.008231      127            41
VMA10   -0.008181    -0.000828      128            82
VSTD20  -0.008212    -0.003694      129           106
VSUMN60 -0.008359     0.002015      130            74
MIN20   -0.008909     0.003002      131            68
SUMN60  -0.009119    -0.003289      132           100
VSUMN30 -0.010089     0.004516      133            54
IMAX5   -0.010341    -0.018464      134           147
RESI20  -0.010528    -0.020914      135           150
VSUMN20 -0.011038    -0.003404      136           102
SUMN10  -0.011221    -0.002312      137            92
CORD5   -0.011758    -0.016372      138           141
KLOW    -0.012124    -0.021627      139           151
VSTD60  -0.012235    -0.004253      140           109
VMA30   -0.012750    -0.002026      141            91
VMA20   -0.013025    -0.003517      142           103
IMXD5   -0.013283    -0.018832      143           148
CORR60  -0.013567    -0.014069      144           138
RESI60  -0.013585    -0.022993      145           152
CORD10  -0.013695    -0.019071      146           149
VMA60   -0.014413     0.003235      147            66
CORD60  -0.014648    -0.017648      148           145
BETA5   -0.014669    -0.030430      149           157
VSUMN10 -0.015454    -0.008288      150           126
CORR30  -0.015640    -0.017886      151           146
CORD20  -0.016051    -0.025653      152           155
CORR5   -0.016393    -0.016372      153           142
CORR20  -0.016549    -0.023789      154           154
CORR10  -0.017734    -0.023140      155           153
KLOW2   -0.019392    -0.016599      156           143
CORD30  -0.020995    -0.026888      157           156

## 前 3 个因子的 IC 分析

### 因子: CNTP60 (排名: 1)
datetime
2018-01-02    0.000824
2018-01-03   -0.038444
2018-01-04    0.102820
2018-01-05    0.289161
2018-01-08    0.057674
2018-01-09   -0.034808
2018-01-10    0.057622
2018-01-11    0.135670
2018-01-12    0.085258
2018-01-15   -0.325233
2018-01-16   -0.058958
2018-01-17   -0.151564
2018-01-18    0.204048
2018-01-19    0.124672
2018-01-22   -0.130189
2018-01-23    0.080435
2018-01-24    0.215158
2018-01-25    0.011763
2018-01-26   -0.134545
2018-01-29    0.297208
2018-01-30    0.137788
2018-01-31    0.303704
2018-02-01    0.081783
2018-02-02   -0.042778
2018-02-05   -0.369585
2018-02-06   -0.274054
2018-02-07   -0.153652
2018-02-08    0.163604
2018-02-09    0.361729
2018-02-12    0.217903
2018-02-13    0.234065
2018-02-14    0.035904
2018-02-22   -0.133423
2018-02-23   -0.152171
2018-02-26    0.047592
2018-02-27    0.064825
2018-02-28    0.036326
2018-03-01    0.130381
2018-03-02   -0.019690
2018-03-05   -0.046354
2018-03-06    0.124729
2018-03-07    0.022753
2018-03-08   -0.098796
2018-03-09   -0.062815
2018-03-12    0.071185
2018-03-13    0.206238
2018-03-14   -0.137045
2018-03-15    0.007601
2018-03-16    0.021594
2018-03-19    0.005040
2018-03-20    0.035808
2018-03-21    0.123927
2018-03-22    0.066536
2018-03-23   -0.074604
2018-03-26    0.005066
2018-03-27   -0.030321
2018-03-28    0.168786
2018-03-29    0.020605
2018-03-30    0.086738
2018-04-02   -0.112485
2018-04-03    0.117386
2018-04-04   -0.137007
2018-04-09   -0.075444
2018-04-10    0.105626
2018-04-11   -0.108882
2018-04-12    0.131607
2018-04-13   -0.186894
2018-04-16    0.189210
2018-04-17    0.012925
2018-04-18   -0.012237
2018-04-19   -0.060842
2018-04-20    0.152651
2018-04-23    0.142537
2018-04-24   -0.095987
2018-04-25    0.019217
2018-04-26    0.148474
2018-04-27    0.035588
2018-05-02   -0.076538
2018-05-03    0.188703
2018-05-04   -0.072210
2018-05-07    0.065627
2018-05-08    0.090165
2018-05-09   -0.138213
2018-05-10    0.141554
2018-05-11    0.201123
2018-05-14    0.079004
2018-05-15   -0.192710
2018-05-16   -0.045810
2018-05-17   -0.099187
2018-05-18    0.284869
2018-05-21    0.098758
2018-05-22    0.010013
2018-05-23    0.080182
2018-05-24    0.310012
2018-05-25   -0.174368
2018-05-28    0.099683
2018-05-29    0.291115
2018-05-30   -0.239597
2018-05-31    0.003235
2018-06-01    0.363471
2018-06-04    0.103740
2018-06-05   -0.264514
2018-06-06    0.253452
2018-06-07   -0.164155
2018-06-08    0.227097
2018-06-11   -0.087974
2018-06-12   -0.019840
2018-06-13   -0.085254
2018-06-14    0.124814
2018-06-15    0.097111
2018-06-19    0.052299
2018-06-20    0.096909
2018-06-21    0.050314
2018-06-22   -0.179223
2018-06-25   -0.222876
2018-06-26   -0.084154
2018-06-27    0.205723
2018-06-28    0.055887
2018-06-29   -0.249706
2018-07-02   -0.100878
2018-07-03    0.058663
2018-07-04   -0.005120
2018-07-05    0.126285
2018-07-06    0.145911
2018-07-09    0.078785
2018-07-10   -0.070983
2018-07-11    0.051484
2018-07-12   -0.120459
2018-07-13   -0.322104
2018-07-16    0.090449
2018-07-17    0.024492
2018-07-18   -0.009177
2018-07-19   -0.150369
2018-07-20   -0.213791
2018-07-23    0.146853
